# Taeron Reflow Oven run log
# firmware,v2.0-dev
# profile,TS391SNL
# started_at_epoch,1789078288
# started_at_local,2026-09-10 15:11:28 PDT
# entered_at_s,56.9
# wall clock of a row = started_at_epoch + elapsed_s
elapsed_s,target_c,actual_c,relay,cold_c,cpu_c
# event,56.9,run_started,entered_at_s=56.9 oven_c=59.4 profile=TS391SNL
207.8,184.96,182.625,1,34.00,34.50
208.8,185.71,183.250,1,34.06,34.71
209.8,186.47,184.000,1,34.13,34.71
210.8,187.23,184.688,1,34.13,34.71
212.1,188.16,185.625,1,34.19,34.50
213.1,188.92,186.375,1,34.19,34.71
214.3,189.86,187.688,1,34.31,34.08
215.3,190.62,188.438,1,34.31,34.07
216.6,191.55,189.313,1,34.38,34.50
217.6,192.31,190.563,1,34.38,34.50
218.6,193.07,191.563,1,34.50,34.71
219.6,193.84,192.438,1,34.50,34.50
220.6,194.60,193.313,1,34.56,35.35
221.8,195.53,194.750,1,34.63,34.71
222.9,196.28,195.625,1,34.63,35.35
223.9,197.04,196.500,1,34.63,34.93
224.9,197.79,197.438,1,34.69,34.71
226.1,198.74,198.875,1,34.75,34.50
227.3,199.67,200.125,1,34.75,34.93
228.6,200.65,201.313,1,34.81,34.92
229.7,201.41,202.250,1,34.94,34.93
230.8,202.30,203.125,1,34.94,34.71
231.8,203.05,204.375,1,35.00,35.14
232.8,203.71,205.250,0,35.06,35.14
234.1,204.53,206.000,1,35.06,34.71
235.1,205.20,206.500,1,35.13,34.07
236.1,205.86,207.125,0,35.19,34.50
237.4,206.70,207.688,0,35.25,34.50
238.6,207.50,208.000,1,35.31,34.71
239.6,208.17,208.250,1,35.38,34.93
240.8,208.98,208.688,1,35.38,34.28
241.8,209.64,209.313,1,35.44,34.71
243.1,210.47,210.063,1,35.56,34.71
244.1,211.13,210.625,1,35.56,34.71
245.3,211.95,211.625,1,35.63,34.71
246.6,212.78,212.500,1,35.75,34.71
247.6,213.44,213.250,1,35.69,34.71
248.8,214.27,214.125,1,35.88,34.28
250.1,215.08,215.000,1,35.88,34.50
251.1,215.75,215.938,1,35.94,34.50
252.1,216.41,216.688,1,36.00,34.50
# event,252.6,above_liquidus,temp=217.188
# event,253.1,stage_changed,stage=reflow
253.1,217.07,217.500,1,36.06,35.35
254.1,217.74,218.563,1,36.06,34.93
255.3,218.55,219.313,1,36.13,34.71
256.6,219.28,220.313,1,36.19,34.71
257.8,219.98,221.375,0,36.25,34.07
258.8,220.55,222.000,1,36.38,33.64
260.1,221.27,222.500,1,36.44,34.28
261.1,221.85,222.938,0,36.38,34.71
262.1,222.42,223.375,0,36.50,34.71
263.3,223.14,223.563,1,36.56,34.50
264.6,223.85,223.875,1,36.63,34.71
265.6,224.43,224.250,1,36.69,35.14
266.6,225.01,224.625,1,36.75,34.28
267.8,225.72,225.375,1,36.81,34.50
268.9,226.31,225.875,1,36.88,35.14
269.9,226.90,226.438,1,36.94,34.71
271.1,227.58,227.313,1,37.00,34.71
272.1,228.16,228.063,1,37.13,34.71
273.4,228.94,228.938,1,37.19,34.07
274.6,229.60,229.563,1,37.25,34.93
275.8,230.32,230.438,1,37.31,34.93
277.1,231.03,231.375,1,37.38,34.71
278.1,231.61,232.000,1,37.38,34.50
279.3,232.33,233.063,1,37.50,35.14
280.6,233.04,234.000,1,37.63,34.72
281.6,233.62,234.625,1,37.63,34.71
282.6,234.20,235.375,0,37.69,34.71
283.6,234.79,235.813,1,37.75,34.93
284.8,235.48,236.125,1,37.81,34.93
285.8,236.06,236.500,1,37.94,34.93
287.1,236.72,236.938,0,37.94,34.71
288.1,237.24,237.250,1,38.06,34.93
289.1,237.76,237.375,1,38.06,34.50
290.3,238.38,237.813,1,38.19,34.50
291.3,238.90,238.125,1,38.19,34.92
292.4,239.42,238.625,1,38.31,34.93
293.4,239.93,239.063,1,38.38,34.71
294.4,240.46,239.688,1,38.44,34.93
295.6,241.07,240.375,1,38.50,35.14
296.6,241.59,241.000,1,38.63,34.50
297.6,242.10,241.625,1,38.63,34.71
298.8,242.74,242.375,1,38.75,34.71
300.1,243.38,243.000,1,38.81,34.50
301.3,244.02,243.875,1,38.88,34.71
302.3,244.53,244.500,1,38.94,34.93
303.6,244.75,245.438,1,39.06,34.71
304.8,243.78,246.125,0,39.13,34.71
306.1,242.82,246.688,0,39.25,34.50
307.1,242.05,246.750,0,39.31,34.93
308.1,241.27,246.625,0,39.44,34.72
309.1,240.47,246.313,0,39.50,34.71
310.3,239.54,245.688,0,39.50,34.93
311.6,238.58,245.250,0,39.63,34.71
312.8,237.62,244.625,0,39.69,34.93
313.8,236.85,244.063,0,39.75,34.50
315.1,235.89,243.500,0,39.88,34.93
316.3,234.92,242.500,0,39.88,34.71
317.6,233.96,241.563,0,40.00,34.71
318.8,233.01,240.813,0,40.13,34.50
319.8,232.23,240.188,0,40.19,34.71
321.1,231.27,239.125,0,40.25,34.71
322.1,230.49,238.438,0,40.31,35.14
323.3,229.53,237.750,0,40.44,34.50
324.6,228.57,236.750,0,40.50,35.14
325.6,227.80,236.063,0,40.56,34.71
326.6,227.03,235.313,0,40.63,34.71
327.6,226.26,234.563,0,40.69,34.71
328.9,225.26,233.625,0,40.81,34.93
330.1,224.45,232.563,0,40.88,34.50
331.1,223.79,231.813,0,40.94,34.07
332.1,223.12,231.188,0,41.00,34.93
333.1,222.45,230.438,0,41.06,35.14
334.1,221.78,229.625,0,41.13,34.71
335.3,220.95,228.813,0,41.25,34.71
336.6,220.11,227.750,0,41.31,34.28
337.6,219.43,227.125,0,41.44,34.71
338.8,218.62,226.375,0,41.56,34.71
339.9,217.93,225.438,0,41.56,34.92
341.1,217.11,224.563,0,41.63,34.29
# event,341.3,stage_changed,stage=cool
342.3,216.29,223.875,0,41.75,34.71
343.3,215.61,223.000,0,41.88,34.71
344.6,214.76,222.313,0,41.88,34.50
345.6,214.08,221.313,0,41.94,34.93
346.8,213.29,220.688,0,42.00,34.50
347.8,212.61,220.063,0,42.06,34.71
349.1,211.82,219.125,0,42.19,34.92
350.1,211.24,218.563,0,42.31,34.92
351.1,210.66,217.875,0,42.31,35.13
# event,352.3,below_liquidus,temp=216.938
352.3,209.96,216.938,0,42.38,35.14
353.3,209.39,216.438,0,42.50,35.35
354.3,208.81,215.875,0,42.56,34.71
355.6,208.09,214.813,0,42.56,33.85
356.6,207.51,214.313,0,42.69,34.50
357.8,206.80,213.688,0,42.81,34.71
358.9,206.22,212.875,0,42.81,34.29
360.1,205.53,212.250,0,42.94,34.50
361.1,204.95,211.625,0,43.00,34.93
362.4,204.22,210.813,0,43.13,34.50
363.6,203.51,210.250,0,43.19,34.71
364.8,202.80,209.438,0,43.25,34.71
366.1,202.09,208.750,0,43.31,34.28
367.1,201.52,208.063,0,43.38,34.71
368.3,200.80,207.375,0,43.44,34.92
369.3,200.23,206.813,0,43.50,34.93
370.3,199.66,206.250,0,43.63,34.71
371.3,199.17,205.688,0,43.69,34.93
372.3,198.67,205.125,0,43.69,34.93
373.3,198.18,204.625,0,43.75,34.71
374.6,197.56,203.875,0,43.88,35.14
375.8,196.96,203.188,0,43.94,35.13
376.8,196.46,202.500,0,43.94,34.49
378.1,195.85,202.063,0,44.06,34.92
379.1,195.35,201.313,0,44.13,34.71
380.1,194.85,200.813,0,44.19,34.71
381.3,194.24,200.313,0,44.25,35.35
382.3,193.75,199.938,0,44.31,34.93
383.6,193.14,199.125,0,44.38,34.07
384.6,192.63,198.688,0,44.44,34.50
385.8,192.03,198.063,0,44.50,34.93
386.8,191.53,197.438,0,44.56,34.71
387.8,191.03,197.000,0,44.56,34.93
388.9,190.53,196.563,0,44.69,35.14
390.1,189.93,195.813,0,44.75,34.93
391.1,189.44,195.375,0,44.81,34.71
392.1,188.95,194.938,0,44.88,35.14
393.1,188.46,194.500,0,44.94,34.50
394.1,187.96,194.000,0,45.00,34.71
