# Taeron Reflow Oven run log
# The oven's own run log, complete and unmodified below this line:
# every control step at about 4 Hz, fetched from the oven at
# /logs/0024-Bake-125-C.csv. Columns after the header: elapsed_s, target_c,
# actual_c, relay (0/1), cold_c (amplifier cold junction), cpu_c.
# firmware,v2.0-dev
# profile,Bake 125 °C
# started_at_epoch,1789575580
# started_at_local,2026-09-16 09:19:40 PDT
# entered_at_s,0.0
# wall clock of a row = started_at_epoch + elapsed_s
elapsed_s,target_c,actual_c,relay,cold_c,cpu_c
# event,0.0,run_started,profile=Bake 125 °C
-0.7,25.00,24.125,0,24.44,35.14
# event,0.4,stage_changed,stage=hold
0.4,25.07,24.125,0,24.44,35.14
1.4,25.13,24.125,0,24.44,34.71
2.4,25.19,24.063,0,24.44,34.93
3.4,25.25,24.188,1,24.44,35.14
4.4,25.31,24.125,1,24.50,34.93
5.4,25.37,24.188,1,24.50,34.71
6.6,25.45,24.125,0,24.44,34.50
7.6,25.51,24.125,1,24.44,34.71
8.6,25.57,24.250,1,24.50,35.35
9.6,25.63,24.313,1,24.50,34.93
10.6,25.69,24.375,0,24.50,35.14
11.9,25.77,24.438,1,24.44,34.92
12.9,25.83,24.625,1,24.50,34.71
13.9,25.89,24.688,0,24.50,34.93
14.9,25.95,24.813,0,24.50,34.93
16.1,26.03,25.000,1,24.50,34.50
17.1,26.09,25.063,1,24.44,34.28
18.1,26.15,25.250,0,24.44,35.14
19.1,26.21,25.438,0,24.50,35.14
20.1,26.27,25.563,1,24.50,34.71
21.4,26.35,25.938,0,24.50,34.93
22.4,26.41,26.125,0,24.50,34.71
23.4,26.47,26.313,1,24.44,34.29
24.4,26.53,26.563,0,24.50,34.71
25.4,26.59,26.875,0,24.50,35.14
26.6,26.67,27.250,0,24.50,34.50
27.6,26.73,27.500,0,24.50,34.50
28.6,26.79,27.813,0,24.50,34.71
29.6,26.85,28.063,0,24.44,34.93
30.9,26.96,28.500,0,24.50,34.92
31.9,27.10,28.750,0,24.50,34.50
32.9,27.24,29.063,0,24.50,34.07
33.9,27.38,29.375,0,24.50,34.71
35.1,27.55,29.688,0,24.44,34.71
36.1,27.69,30.000,0,24.44,34.29
37.1,27.84,30.250,0,24.44,34.93
38.1,27.98,30.625,0,24.50,34.50
39.1,28.12,30.875,0,24.44,34.71
40.1,28.26,31.250,0,24.50,34.92
41.1,28.40,31.438,0,24.50,34.50
42.1,28.54,31.688,0,24.50,34.92
43.4,28.72,32.000,0,24.50,34.50
44.4,28.86,32.313,0,24.50,35.14
45.4,29.00,32.500,0,24.50,35.14
46.7,29.18,32.750,0,24.50,35.14
47.9,29.35,33.125,0,24.50,34.29
