# Taeron Reflow Oven run log
# firmware,v2.0-dev
# profile,STEP 250 C
# started_at_epoch,1789071625
# started_at_local,2026-09-10 13:20:25 PDT
# entered_at_s,0.0
# wall clock of a row = started_at_epoch + elapsed_s
elapsed_s,target_c,actual_c,relay,cold_c,cpu_c
# event,0.0,run_started,profile=STEP 250 C
154.4,205.34,200.625,1,25.56,33.43
155.4,206.16,201.375,1,25.63,33.43
156.4,206.98,202.188,1,25.69,33.44
157.4,207.80,203.188,1,25.75,34.29
158.6,208.82,204.125,1,25.81,33.43
159.7,209.67,204.875,1,25.88,33.43
160.9,210.68,205.875,1,25.88,33.43
162.1,211.68,206.750,1,25.94,33.01
163.1,212.51,207.813,1,26.06,34.08
164.1,213.33,208.438,1,26.06,33.44
165.4,214.35,209.313,1,26.13,33.01
166.6,215.37,210.375,1,26.19,33.44
167.6,216.21,211.125,1,26.25,33.65
168.9,217.21,211.938,1,26.31,33.65
169.9,218.07,212.750,1,26.38,33.65
170.9,218.90,213.438,1,26.44,33.44
172.2,219.89,214.250,1,26.50,33.22
173.4,220.80,215.250,1,26.56,33.65
174.6,221.66,215.813,1,26.56,33.43
175.9,222.55,216.813,1,26.75,33.86
177.1,223.44,217.688,1,26.75,33.86
178.4,224.34,218.563,1,26.88,33.87
179.6,225.23,219.438,1,26.88,33.44
180.9,226.13,220.438,1,27.00,33.44
182.1,227.02,221.188,1,27.06,33.44
183.4,227.91,221.750,1,27.06,33.21
184.4,228.62,222.438,1,27.25,33.22
185.6,229.52,223.375,1,27.31,33.86
186.9,230.41,224.125,1,27.31,33.44
188.1,231.32,225.000,1,27.44,33.86
189.4,232.20,225.875,1,27.56,33.65
190.6,233.09,226.688,1,27.63,33.86
191.9,233.98,227.438,1,27.69,33.65
192.9,234.70,228.188,1,27.75,33.65
193.9,235.42,228.750,1,27.81,33.43
195.1,236.30,229.438,1,27.88,34.08
196.1,237.01,230.125,1,28.00,33.22
197.4,237.84,230.875,1,28.00,34.08
198.6,238.60,231.750,1,28.19,33.22
199.9,239.38,232.438,1,28.25,33.44
201.1,240.13,233.188,1,28.31,33.44
202.1,240.74,233.688,1,28.38,33.43
203.1,241.37,234.313,1,28.44,33.44
204.4,242.13,235.063,1,28.50,33.86
205.4,242.74,235.688,1,28.63,33.44
206.6,243.51,236.625,1,28.75,33.22
207.9,244.27,237.313,1,28.81,33.87
208.9,244.89,237.813,1,28.88,33.02
210.1,245.66,238.625,1,28.94,33.22
211.1,246.28,239.188,1,29.06,34.08
212.2,246.93,239.750,1,29.13,34.07
213.4,247.66,240.563,1,29.19,33.65
214.7,248.44,241.250,1,29.31,33.44
215.9,249.18,242.000,1,29.38,33.86
216.9,249.75,242.625,1,29.50,33.22
218.1,250.00,243.375,1,29.56,33.44
219.4,250.00,243.875,1,29.63,33.86
220.4,250.00,244.375,1,29.75,34.08
221.4,250.00,245.063,1,29.75,33.65
222.4,250.00,245.625,1,29.88,33.65
223.6,250.00,246.313,1,30.00,33.22
224.9,250.00,246.875,1,30.06,33.44
226.1,250.00,247.625,1,30.13,34.08
227.4,250.00,248.313,1,30.25,33.66
228.4,250.00,248.875,1,30.38,33.43
229.6,250.00,249.625,1,30.44,33.43
230.6,250.00,250.188,1,30.56,33.65
231.6,250.00,250.688,1,30.63,33.65
232.6,250.00,251.250,1,30.75,33.43
233.9,250.00,251.938,1,30.81,33.44
235.1,250.00,252.563,0,30.88,33.22
236.2,250.00,252.813,1,31.06,33.43
237.4,250.00,252.875,0,31.13,33.64
238.4,250.00,252.875,0,31.19,33.22
239.4,250.00,252.625,0,31.25,33.86
240.4,250.00,252.375,1,31.38,33.23
241.6,250.00,252.063,1,31.50,33.65
242.9,250.00,251.688,0,31.56,33.43
244.1,250.00,251.438,0,31.69,33.43
245.4,250.00,251.125,1,31.81,33.43
246.4,250.00,250.750,1,31.88,33.65
247.6,249.78,250.688,1,31.94,33.65
248.6,249.06,250.500,1,32.06,33.65
249.6,248.33,250.938,0,32.19,33.44
250.9,247.42,251.000,0,32.25,33.86
251.9,246.68,250.813,0,32.31,33.86
252.9,245.94,250.438,0,32.50,33.87
253.9,245.19,250.000,0,32.56,33.65
255.1,244.33,249.500,0,32.63,34.08
256.1,243.59,248.625,0,32.75,33.86
257.4,242.69,248.125,0,32.88,33.65
258.4,241.94,247.375,0,33.00,34.29
259.6,241.05,246.625,0,33.00,33.86
260.9,240.15,245.688,0,33.19,33.65
261.9,239.37,244.938,0,33.25,33.43
263.1,238.51,243.938,0,33.38,33.86
264.1,237.78,243.188,0,33.44,34.08
265.1,237.04,242.438,0,33.50,33.86
266.4,236.14,241.313,0,33.63,33.65
267.6,235.22,240.438,0,33.75,33.44
268.7,234.48,239.625,0,33.81,33.86
269.9,233.60,238.563,0,33.94,33.65
270.9,232.86,237.813,0,34.06,33.87
271.9,232.14,237.063,0,34.13,33.22
273.1,231.23,235.938,0,34.25,33.65
274.1,230.50,235.188,0,34.31,34.08
275.1,229.78,234.438,0,34.38,33.65
276.1,229.05,233.750,0,34.50,33.87
277.4,228.11,232.625,0,34.63,33.65
278.4,227.36,231.875,0,34.69,33.64
279.4,226.60,231.250,0,34.81,33.65
280.6,225.67,230.125,0,34.88,33.86
281.6,224.91,229.375,0,34.94,33.86
282.9,223.96,228.625,0,35.13,33.65
283.9,223.18,227.563,0,35.13,33.43
285.0,222.40,226.938,0,35.25,33.22
286.1,221.53,226.125,0,35.38,33.65
287.1,220.76,225.438,0,35.44,33.43
