# Taeron Reflow Oven run log
# firmware,v2.0-dev
# profile,TS391SNL
# started_at_epoch,1789073775
# started_at_local,2026-09-10 13:56:15 PDT
# entered_at_s,33.9
# wall clock of a row = started_at_epoch + elapsed_s
elapsed_s,target_c,actual_c,relay,cold_c,cpu_c
# event,33.9,run_started,entered_at_s=33.9 oven_c=34.1 profile=TS391SNL
185.2,173.54,174.000,0,31.25,34.50
186.2,173.94,174.375,0,31.25,34.07
187.2,174.34,174.688,1,31.31,34.07
188.4,174.84,175.063,1,31.31,33.86
189.4,175.24,175.438,0,31.31,34.29
190.7,175.74,175.875,1,31.38,34.08
191.7,176.14,176.063,1,31.44,34.29
192.9,176.64,176.500,1,31.50,34.29
193.9,177.04,176.813,0,31.50,33.86
195.2,177.54,177.250,1,31.50,34.29
196.5,178.07,177.625,1,31.56,34.07
197.7,178.54,178.125,1,31.63,34.08
198.9,179.04,178.750,1,31.63,34.28
199.9,179.44,179.250,1,31.75,34.07
200.9,179.84,179.563,1,31.69,34.50
201.9,180.46,180.188,0,31.75,34.07
203.2,181.40,180.813,1,31.81,33.86
204.2,182.16,181.500,1,31.88,34.50
205.2,182.91,182.000,1,31.88,34.07
206.4,183.85,182.938,1,31.94,34.08
207.4,184.61,183.625,1,32.00,34.50
208.7,185.54,184.500,1,32.00,34.71
209.7,186.30,185.563,1,32.13,33.64
210.9,187.24,186.563,1,32.19,34.29
211.9,188.00,187.375,1,32.19,34.29
213.2,188.97,188.625,1,32.19,34.07
214.4,189.87,189.938,1,32.25,33.65
215.4,190.63,190.875,1,32.38,34.29
216.4,191.39,191.625,1,32.31,34.93
217.4,192.15,192.625,1,32.44,34.28
218.7,193.08,193.750,1,32.44,34.28
219.7,193.84,194.875,1,32.56,34.50
220.7,194.60,195.813,1,32.56,34.28
221.9,195.54,197.000,0,32.63,33.86
222.9,196.29,197.688,0,32.69,33.87
223.9,197.05,198.313,1,32.69,33.86
225.0,197.85,198.813,0,32.75,34.28
226.2,198.74,199.375,0,32.75,34.29
227.4,199.68,199.813,1,32.88,34.07
228.4,200.44,199.938,1,32.88,34.29
229.4,201.19,200.125,1,33.00,34.07
230.4,201.95,200.438,1,33.00,33.65
231.7,202.91,201.188,1,33.13,34.07
232.9,203.72,201.875,1,33.13,34.71
233.9,204.39,202.625,1,33.19,33.86
234.9,205.05,203.313,1,33.25,34.29
235.9,205.71,203.875,1,33.25,34.07
237.2,206.53,204.938,1,33.38,34.08
238.4,207.36,206.000,1,33.44,34.71
239.7,208.21,207.125,1,33.50,33.86
240.7,208.88,207.813,1,33.50,33.43
241.9,209.66,208.625,1,33.56,34.07
242.9,210.32,209.438,1,33.63,33.86
243.9,210.99,210.625,1,33.69,33.86
245.2,211.81,211.438,1,33.75,34.50
246.4,212.63,212.375,1,33.81,34.07
247.4,213.29,213.188,1,33.88,34.29
248.7,214.12,214.375,1,33.94,34.29
249.7,214.78,215.125,1,34.00,34.29
250.7,215.44,215.938,1,34.06,34.07
# event,251.9,above_liquidus,temp=217.063
251.9,216.26,217.063,0,34.13,34.50
252.9,216.93,217.625,1,34.13,34.07
# event,253.2,stage_changed,stage=reflow
254.2,217.74,218.375,1,34.25,34.07
255.5,218.61,219.125,0,34.31,34.07
256.7,219.29,219.875,1,34.38,34.29
257.9,219.99,220.125,1,34.44,34.07
258.9,220.57,220.875,1,34.50,34.50
260.2,221.29,221.438,1,34.56,34.29
261.4,222.00,222.188,1,34.69,34.71
262.7,222.72,223.063,1,34.69,34.28
263.9,223.44,223.938,1,34.81,34.08
264.9,224.01,224.625,1,34.88,33.85
265.9,224.59,225.438,1,34.94,34.50
267.2,225.30,226.313,1,35.00,33.86
268.2,225.88,227.000,1,35.06,34.50
269.2,226.48,227.875,1,35.13,34.28
270.4,227.17,228.750,1,35.25,34.29
271.7,227.93,229.813,0,35.31,34.07
272.9,228.61,230.438,0,35.38,34.07
274.2,229.32,230.750,1,35.44,34.50
275.2,229.90,231.063,1,35.50,34.50
276.4,230.62,231.500,0,35.56,34.07
277.7,231.34,231.750,1,35.63,34.29
278.9,232.05,231.813,1,35.69,34.29
279.9,232.63,232.000,1,35.81,34.08
280.9,233.21,232.313,1,35.81,34.50
282.2,233.92,232.750,1,35.94,34.28
283.2,234.50,233.125,1,35.94,34.07
284.4,235.21,233.938,1,36.13,34.50
285.7,235.93,234.625,1,36.19,34.29
286.9,236.61,235.188,1,36.25,34.08
288.2,237.25,236.000,1,36.31,34.29
289.2,237.80,236.813,1,36.38,34.50
290.4,238.40,237.500,1,36.44,33.87
291.4,238.92,238.063,1,36.50,33.43
292.7,239.55,239.063,1,36.63,34.50
293.7,240.08,239.688,1,36.69,34.07
294.9,240.70,240.438,1,36.75,34.07
295.9,241.21,241.313,1,36.88,34.29
296.9,241.73,241.938,1,36.94,34.08
298.2,242.36,242.688,1,37.00,33.85
299.2,242.88,243.438,1,37.13,34.50
300.2,243.39,244.188,1,37.19,33.86
301.5,244.07,245.000,1,37.25,34.28
302.7,244.66,246.000,0,37.38,33.86
303.7,244.72,246.375,0,37.38,34.07
304.7,243.94,246.625,0,37.44,34.07
305.9,242.98,246.563,0,37.56,34.29
306.9,242.20,246.375,0,37.69,34.29
308.2,241.24,245.813,0,37.75,34.29
309.4,240.30,245.438,0,37.81,34.07
310.4,239.52,244.938,0,37.81,34.71
311.4,238.75,244.500,0,37.94,34.29
312.7,237.79,243.688,0,38.06,34.28
313.7,236.99,243.000,0,38.06,34.50
314.7,236.20,242.313,0,38.19,34.07
315.9,235.29,241.563,0,38.31,34.50
316.9,234.52,240.875,0,38.31,34.29
318.2,233.56,240.000,0,38.44,34.08
319.2,232.79,239.313,0,38.50,34.07
320.4,231.82,238.375,0,38.63,34.71
321.7,230.86,237.250,0,38.69,34.29
322.7,230.09,236.563,0,38.75,34.07
323.7,229.31,235.875,0,38.88,34.28
324.9,228.35,234.938,0,39.00,34.71
326.2,227.40,233.938,0,39.06,34.07
327.5,226.39,232.938,0,39.19,34.50
328.5,225.61,232.250,0,39.25,34.28
329.7,224.76,231.500,0,39.31,34.29
330.7,224.10,230.875,0,39.44,33.86
331.9,223.26,229.750,0,39.50,34.71
333.2,222.43,228.688,0,39.56,34.71
334.2,221.76,227.938,0,39.63,34.07
335.4,220.93,227.125,0,39.75,34.29
336.7,220.08,226.063,0,39.81,34.50
337.9,219.26,225.375,0,39.88,34.28
339.2,218.40,224.375,0,40.00,34.50
340.4,217.60,223.438,0,40.00,34.29
# event,341.4,stage_changed,stage=cool
341.4,216.93,222.875,0,40.13,34.29
342.4,216.26,222.063,0,40.25,34.29
343.7,215.43,221.250,0,40.31,34.07
344.9,214.60,220.250,0,40.38,34.29
345.9,213.93,219.563,0,40.44,34.50
347.2,213.10,218.688,0,40.56,34.50
348.4,212.27,217.875,0,40.63,34.93
349.4,211.65,217.313,0,40.75,34.50
# event,349.9,below_liquidus,temp=216.938
350.7,210.94,216.688,0,40.81,34.28
351.7,210.37,215.875,0,40.88,34.29
352.7,209.80,215.063,0,40.94,34.28
353.9,209.08,214.500,0,41.00,34.50
355.2,208.37,213.563,0,41.06,34.08
356.2,207.79,213.000,0,41.19,34.50
357.5,207.06,212.063,0,41.25,34.71
358.7,206.37,211.375,0,41.31,34.29
359.9,205.65,210.563,0,41.44,34.29
361.2,204.93,209.625,0,41.50,34.07
362.2,204.36,209.063,0,41.56,34.50
363.4,203.64,208.625,0,41.69,34.92
364.7,202.92,207.813,0,41.81,34.50
365.7,202.35,207.188,0,41.81,34.71
366.9,201.65,206.563,0,41.94,34.93
367.9,201.08,206.063,0,42.00,34.50
368.9,200.50,205.313,0,42.00,34.50
370.2,199.79,204.688,0,42.13,34.28
371.2,199.28,204.000,0,42.19,34.07
372.2,198.78,203.438,0,42.25,34.50
373.2,198.28,202.938,0,42.31,34.07
374.2,197.78,202.438,0,42.38,34.71
375.2,197.28,201.938,0,42.44,34.29
376.4,196.69,201.125,0,42.50,33.85
377.7,196.08,200.500,0,42.56,34.92
378.7,195.58,199.938,0,42.63,34.50
379.7,195.09,199.375,0,42.69,34.50
380.9,194.48,198.875,0,42.81,34.71
381.9,193.97,198.250,0,42.88,34.50
383.2,193.37,197.625,0,42.94,34.71
384.2,192.88,197.125,0,43.00,34.93
385.4,192.25,196.500,0,43.13,33.64
386.4,191.75,195.875,0,43.13,34.29
387.5,191.25,195.438,0,43.19,33.86
388.7,190.66,194.938,0,43.31,34.50
389.7,190.16,194.438,0,43.31,34.07
390.9,189.55,193.813,0,43.38,34.07
391.9,189.06,193.250,0,43.50,34.07
393.2,188.45,192.688,0,43.56,34.07
394.2,187.95,192.250,0,43.63,34.50
395.2,187.46,191.625,0,43.63,34.29
396.4,186.85,191.125,0,43.75,34.29
397.4,186.36,190.688,0,43.81,34.28
398.4,185.94,190.125,0,43.81,34.50
399.4,185.52,189.688,0,43.88,34.07
400.4,185.10,189.250,0,43.94,34.08
401.7,184.58,188.500,0,43.94,34.50
402.7,184.16,188.125,0,44.06,34.29
403.7,183.74,187.625,0,44.06,34.29
404.9,183.22,187.063,0,44.19,33.86
405.9,182.80,186.625,0,44.25,34.28
406.9,182.38,186.188,0,44.25,34.50
407.9,181.96,185.750,0,44.31,34.29
409.2,181.44,185.125,0,44.38,34.07
410.2,181.02,184.813,0,44.50,34.50
411.4,180.50,184.188,0,44.50,34.28
412.4,180.08,183.750,0,44.56,34.71
413.4,179.66,183.438,0,44.69,34.50
414.4,179.23,183.000,0,44.69,33.86
415.7,178.71,182.375,0,44.75,34.71
416.9,178.19,181.875,0,44.81,34.29
418.2,177.67,181.438,0,44.88,34.50
419.4,177.14,180.938,0,44.94,34.93
420.5,176.71,180.563,0,45.00,34.07
421.5,176.29,180.125,0,45.06,34.71
422.7,175.78,179.625,0,45.06,34.07
423.9,175.26,179.125,0,45.19,34.50
424.9,174.84,178.750,0,45.25,34.71
425.9,174.47,178.313,0,45.25,34.28
427.2,174.02,177.750,0,45.31,33.86
428.2,173.66,177.375,0,45.38,34.50
429.2,173.29,177.000,0,45.44,34.49
430.4,172.84,176.500,0,45.50,34.50
431.4,172.48,176.125,0,45.56,34.71
432.7,172.03,175.688,0,45.63,34.93
433.9,171.58,175.188,0,45.69,34.07
434.9,171.21,174.750,0,45.63,34.29
435.9,170.85,174.500,0,45.75,33.85
437.2,170.39,173.875,0,45.75,34.50
438.2,170.02,173.500,0,45.81,34.07
439.4,169.58,172.938,0,45.81,34.71
440.7,169.13,172.563,0,45.94,34.71
441.9,168.67,172.063,0,46.00,34.50
443.2,168.22,171.625,0,46.06,34.29
444.2,167.86,171.063,0,46.06,34.50
445.2,167.50,170.813,0,46.13,34.07
446.4,167.05,170.438,0,46.13,34.50
447.4,166.68,170.063,0,46.19,34.50
448.5,166.30,169.625,0,46.25,34.29
