# Taeron Reflow Oven run log
# firmware,v2.0-dev
# profile,TS391LT
# started_at_epoch,1789080336
# started_at_local,2026-09-10 15:45:36 PDT
# entered_at_s,24.3
# wall clock of a row = started_at_epoch + elapsed_s
elapsed_s,target_c,actual_c,relay,cold_c,cpu_c
# event,24.3,run_started,entered_at_s=24.3 oven_c=28.4 profile=TS391LT
174.7,127.79,127.875,0,32.13,34.71
175.9,128.35,128.375,0,32.06,35.35
177.2,128.90,128.875,1,32.19,35.35
178.4,129.46,129.375,1,32.13,34.92
179.7,130.01,129.938,0,32.19,35.56
180.9,130.34,130.375,1,32.19,34.71
182.0,130.63,130.750,1,32.25,34.71
183.2,130.94,131.063,0,32.19,34.71
184.4,131.27,131.688,0,32.25,34.92
185.4,131.54,132.000,1,32.31,35.14
186.7,131.87,132.375,0,32.31,35.14
187.9,132.21,132.750,0,32.25,34.92
188.9,132.47,133.000,0,32.31,35.14
190.2,132.81,133.313,1,32.31,35.14
191.4,133.14,133.688,0,32.38,35.35
192.4,133.41,133.938,0,32.38,35.14
193.7,133.74,134.250,1,32.44,34.29
194.7,134.01,134.438,1,32.44,35.35
195.7,134.27,134.688,0,32.44,34.71
196.9,134.61,135.125,0,32.50,35.56
197.9,134.88,135.313,1,32.50,34.71
199.2,135.21,135.625,0,32.50,35.56
200.4,135.54,135.875,0,32.56,34.50
201.4,135.81,136.188,1,32.56,35.35
202.7,136.14,136.375,1,32.50,34.92
203.7,136.41,136.625,0,32.63,34.72
204.9,136.75,137.063,0,32.56,34.71
206.2,137.07,137.375,1,32.63,35.14
207.2,137.34,137.563,1,32.63,34.92
208.2,137.61,137.813,0,32.63,34.50
# event,208.7,above_liquidus,temp=138.063
209.2,137.87,138.063,0,32.63,34.71
# event,209.7,stage_changed,stage=reflow
210.4,138.70,138.438,1,32.75,34.50
211.7,139.82,138.688,1,32.75,34.71
212.7,140.72,139.000,1,32.75,34.93
213.7,141.62,139.375,1,32.75,34.93
214.9,142.75,140.000,1,32.75,35.14
215.9,143.65,140.500,1,32.81,34.71
217.2,144.78,141.438,1,32.88,34.71
218.2,145.69,142.063,1,32.88,34.93
219.2,146.63,142.750,1,32.88,34.93
220.4,147.70,144.000,1,32.94,35.35
221.4,148.60,144.938,1,33.00,35.35
222.7,149.72,145.750,1,33.00,34.71
223.7,150.62,146.938,1,33.06,34.93
224.9,151.75,148.313,1,33.06,34.71
226.2,152.88,149.813,1,33.06,34.93
227.4,154.00,150.875,1,33.06,35.14
228.7,155.12,152.188,1,33.13,35.14
229.9,156.25,153.875,1,33.19,34.93
231.0,157.20,154.938,1,33.19,34.93
232.0,158.11,156.000,1,33.19,35.14
233.2,159.18,157.688,1,33.25,34.93
234.4,160.30,159.125,1,33.25,35.35
235.7,161.42,160.813,1,33.25,35.56
236.9,162.55,162.250,1,33.31,34.92
237.9,163.45,163.688,1,33.38,35.56
239.2,164.57,164.813,0,33.38,34.93
240.2,164.53,166.063,0,33.38,34.92
241.2,163.63,166.750,0,33.44,35.35
242.4,162.51,167.313,0,33.44,34.92
243.4,161.60,167.750,0,33.50,34.92
244.7,160.48,168.063,0,33.50,34.71
245.7,159.58,168.188,0,33.56,35.35
246.9,158.43,168.313,0,33.56,35.14
247.9,157.53,168.375,0,33.63,35.35
249.2,156.42,168.250,0,33.63,34.71
250.2,155.51,168.313,0,33.75,35.14
251.4,154.40,168.125,0,33.75,34.71
252.7,153.28,167.813,0,33.75,34.92
253.9,152.16,167.625,0,33.81,34.28
254.9,151.25,167.375,0,33.88,34.50
255.9,150.35,167.188,0,33.94,35.14
257.2,149.22,166.813,0,33.94,35.13
258.5,147.99,166.313,0,33.94,35.14
259.7,146.98,166.063,0,34.00,35.35
260.7,146.08,165.688,0,34.00,35.35
261.7,145.18,165.438,0,34.06,35.35
262.7,144.28,164.938,0,34.13,34.92
264.0,143.08,164.375,0,34.19,34.93
265.2,142.03,164.000,0,34.19,35.14
266.5,140.87,163.563,0,34.25,35.14
267.7,139.78,162.938,0,34.25,35.14
268.7,138.88,162.563,0,34.31,35.35
# event,269.7,stage_changed,stage=cool
269.9,137.62,161.938,0,34.38,35.14
270.9,136.18,161.500,0,34.38,35.14
271.9,134.72,161.125,0,34.38,34.50
273.2,132.96,160.625,0,34.44,34.93
274.2,131.52,160.125,0,34.50,35.35
275.2,130.09,159.688,0,34.50,35.35
276.4,128.29,159.250,0,34.56,34.92
277.4,126.86,158.875,0,34.63,35.14
278.4,125.43,158.313,0,34.63,35.35
279.4,123.99,157.875,0,34.63,34.50
# event,279.9,open_the_door,reason=open now to land inside this profile's time above liquidus tal_s=71.4 temp=157.813
280.7,122.21,157.375,0,34.69,35.13
281.9,120.42,156.813,0,34.75,34.93
282.9,118.98,156.375,0,34.75,35.56
284.2,117.19,155.813,0,34.81,35.14
285.2,115.76,155.438,0,34.88,35.14
286.2,114.32,155.000,0,34.88,35.14
287.2,112.84,154.625,0,34.94,34.93
288.2,111.36,154.250,0,35.00,34.28
289.4,109.66,153.688,0,35.06,35.13
290.4,108.22,153.250,0,35.06,34.92
291.4,106.77,152.938,0,35.13,35.56
292.7,105.01,152.375,0,35.19,34.71
293.7,103.57,151.938,0,35.13,35.56
294.9,101.78,151.500,0,35.25,34.50
295.9,100.35,151.000,0,35.25,34.71
296.9,98.91,150.688,0,35.31,34.92
297.9,97.47,150.188,0,35.25,34.71
299.2,95.69,149.750,0,35.38,35.14
# event,299.7,stage_changed,stage=None
# event,299.8,run_finished,
300.4,,149.313,0,35.44,34.50
301.7,,148.875,0,35.38,34.50
302.7,,148.563,0,35.44,34.71
303.7,,148.125,0,35.50,34.50
304.7,,147.750,0,35.50,34.50
305.7,,147.375,0,35.56,34.71
306.7,,147.000,0,35.63,34.49
307.7,,146.625,0,35.69,34.50
308.7,,146.250,0,35.69,34.71
309.7,,145.875,0,35.69,35.35
310.7,,145.563,0,35.75,35.14
311.7,,145.188,0,35.75,34.93
312.7,,144.938,0,35.81,34.28
313.7,,144.438,0,35.81,34.50
314.7,,144.125,0,35.88,35.56
315.7,,143.875,0,35.94,34.92
316.7,,143.500,0,35.94,34.50
317.7,,143.188,0,36.00,35.35
318.7,,142.938,0,36.06,34.50
319.7,,142.500,0,36.06,34.50
320.7,,142.125,0,36.13,34.93
321.7,,141.813,0,36.13,34.07
322.7,,141.375,0,36.19,35.14
323.7,,141.125,0,36.25,35.14
324.7,,140.750,0,36.19,34.49
325.7,,140.500,0,36.25,35.14
326.7,,140.188,0,36.31,34.92
327.7,,139.938,0,36.38,34.92
328.7,,139.625,0,36.44,34.50
329.7,,139.188,0,36.38,35.14
330.7,,138.938,0,36.44,34.92
331.7,,138.625,0,36.44,34.71
332.7,,138.313,0,36.44,34.71
# event,333.9,below_liquidus,temp=137.875
333.9,,137.875,0,36.50,35.14
334.9,,137.688,0,36.56,34.92
336.2,,137.313,0,36.63,34.71
337.2,,136.938,0,36.69,34.92
338.2,,136.688,0,36.69,34.71
339.2,,136.313,0,36.69,34.50
340.2,,136.125,0,36.75,34.29
341.2,,135.813,0,36.75,35.35
342.2,,135.500,0,36.81,35.13
343.2,,135.250,0,36.88,34.71
344.2,,134.938,0,36.94,34.71
345.4,,134.688,0,36.94,34.71
346.4,,134.250,0,36.94,34.71
347.4,,134.000,0,37.00,34.50
348.4,,133.688,0,37.00,34.71
349.4,,133.375,0,37.00,35.14
350.4,,133.125,0,37.06,34.92
351.4,,132.875,0,37.13,35.35
352.4,,132.563,0,37.13,35.35
353.4,,132.375,0,37.19,35.13
354.4,,132.188,0,37.25,34.93
355.4,,131.813,0,37.25,35.14
356.4,,131.563,0,37.25,34.71
357.4,,131.313,0,37.31,35.14
358.4,,131.063,0,37.31,35.35
359.4,,130.875,0,37.38,35.35
360.4,,130.563,0,37.38,35.14
361.4,,130.250,0,37.38,34.93
362.4,,130.000,0,37.44,35.35
363.4,,129.688,0,37.50,35.35
364.4,,129.375,0,37.50,35.35
365.4,,129.188,0,37.50,34.92
366.7,,128.938,0,37.50,34.28
367.7,,128.688,0,37.56,35.35
368.7,,128.313,0,37.63,35.35
369.7,,128.063,0,37.63,35.78
370.7,,127.813,0,37.63,34.28
371.7,,127.625,0,37.69,34.71
372.7,,127.438,0,37.75,35.14
373.7,,127.188,0,37.75,34.92
374.7,,126.938,0,37.81,34.49
375.7,,126.625,0,37.81,34.92
376.7,,126.438,0,37.88,34.92
377.7,,126.250,0,37.94,34.71
378.9,,125.875,0,37.94,35.14
379.9,,125.688,0,37.94,34.93
380.9,,125.438,0,38.00,35.78
381.9,,125.250,0,38.00,34.92
382.9,,124.938,0,38.00,35.35
383.9,,124.750,0,38.06,34.71
384.9,,124.563,0,38.13,34.93
385.9,,124.250,0,38.06,34.92
386.9,,124.125,0,38.19,35.13
387.9,,123.813,0,38.19,35.14
389.2,,123.500,0,38.19,34.49
390.2,,123.250,0,38.19,34.92
391.2,,123.063,0,38.25,34.92
392.2,,122.875,0,38.25,34.93
393.2,,122.563,0,38.31,35.35
394.2,,122.313,0,38.31,34.92
395.4,,122.125,0,38.38,34.71
396.7,,121.813,0,38.38,35.14
397.7,,121.625,0,38.44,34.93
398.7,,121.438,0,38.44,34.71
399.9,,121.063,0,38.44,34.92
400.9,,120.938,0,38.50,34.92
401.9,,120.750,0,38.56,34.92
402.9,,120.500,0,38.50,35.56
403.9,,120.313,0,38.56,35.35
404.9,,120.063,0,38.63,35.35
406.2,,119.813,0,38.63,35.56
407.2,,119.625,0,38.69,34.93
408.2,,119.313,0,38.69,34.93
409.4,,119.125,0,38.69,35.14
410.7,,118.875,0,38.75,35.56
411.7,,118.688,0,38.81,34.71
412.7,,118.500,0,38.81,34.49
413.7,,118.250,0,38.81,35.14
414.7,,118.063,0,38.88,35.14
415.7,,117.750,0,38.88,34.71
416.7,,117.688,0,38.88,35.14
417.7,,117.438,0,38.94,34.71
418.7,,117.125,0,38.94,34.71
419.7,,117.000,0,39.00,35.14
420.7,,116.688,0,38.94,34.93
421.7,,116.563,0,39.00,35.14
422.7,,116.313,0,39.00,35.13
423.7,,116.188,0,39.06,35.56
424.7,,115.938,0,39.06,35.14
425.7,,115.688,0,39.06,34.92
426.7,,115.563,0,39.13,35.14
427.7,,115.375,0,39.13,35.35
428.7,,115.188,0,39.13,35.14
429.7,,114.938,0,39.13,35.13
430.7,,114.813,0,39.19,34.71
431.7,,114.625,0,39.19,34.92
432.7,,114.438,0,39.25,34.93
433.7,,114.250,0,39.31,34.93
434.7,,113.938,0,39.25,34.92
435.7,,113.750,0,39.31,34.50
436.7,,113.625,0,39.38,34.93
437.7,,113.375,0,39.31,34.92
438.9,,113.125,0,39.38,34.50
440.2,,113.063,0,39.44,34.92
441.2,,112.813,0,39.44,34.92
442.2,,112.563,0,39.44,34.93
443.2,,112.313,0,39.44,35.13
444.2,,112.188,0,39.50,35.14
445.2,,112.000,0,39.50,34.71
446.2,,111.750,0,39.50,34.92
447.2,,111.563,0,39.50,35.14
448.2,,111.438,0,39.56,34.71
449.2,,111.250,0,39.56,35.35
450.2,,111.063,0,39.56,34.71
451.2,,110.875,0,39.63,35.14
452.2,,110.625,0,39.56,34.93
453.2,,110.500,0,39.63,34.93
454.2,,110.313,0,39.63,35.14
455.2,,110.125,0,39.63,35.35
456.4,,109.813,0,39.63,35.56
457.4,,109.750,0,39.69,35.35
458.4,,109.563,0,39.69,35.14
459.7,,109.313,0,39.69,35.14
460.7,,109.125,0,39.69,34.92
461.7,,108.938,0,39.75,34.92
462.7,,108.750,0,39.75,35.14
463.7,,108.563,0,39.75,35.14
464.7,,108.375,0,39.75,35.14
465.7,,108.188,0,39.81,34.93
466.7,,108.063,0,39.81,35.56
467.7,,107.875,0,39.81,34.93
468.7,,107.688,0,39.81,34.92
469.9,,107.500,0,39.88,34.92
470.9,,107.313,0,39.88,34.92
471.9,,107.125,0,39.88,34.92
472.9,,106.875,0,39.88,34.50
473.9,,106.813,0,39.94,35.14
474.9,,106.563,0,39.94,34.71
475.9,,106.375,0,39.94,34.71
476.9,,106.250,0,40.00,35.35
477.9,,106.000,0,39.94,34.50
478.9,,105.938,0,40.00,35.56
479.9,,105.750,0,40.00,35.56
481.2,,105.563,0,40.06,35.78
482.2,,105.313,0,40.00,35.13
483.2,,105.250,0,40.06,35.14
484.2,,105.063,0,40.06,35.14
485.2,,104.875,0,40.06,34.71
486.2,,104.750,0,40.13,34.50
487.2,,104.438,0,40.06,34.93
488.2,,104.313,0,40.06,34.92
489.2,,104.250,0,40.13,34.71
490.2,,104.063,0,40.13,34.92
491.2,,103.813,0,40.13,35.14
492.2,,103.688,0,40.13,34.92
493.2,,103.625,0,40.19,34.92
494.2,,103.375,0,40.19,34.93
495.2,,103.250,0,40.19,35.35
496.2,,103.063,0,40.19,34.92
497.2,,102.875,0,40.19,35.56
498.4,,102.688,0,40.25,34.29
499.4,,102.500,0,40.25,34.93
500.7,,102.313,0,40.25,35.14
501.7,,102.250,0,40.31,34.92
502.7,,102.063,0,40.25,35.35
503.7,,101.875,0,40.38,35.35
504.7,,101.688,0,40.31,35.14
505.7,,101.625,0,40.38,34.92
506.7,,101.313,0,40.31,34.92
507.9,,101.250,0,40.31,34.92
508.9,,101.063,0,40.44,34.71
509.9,,100.875,0,40.44,35.56
510.9,,100.688,0,40.38,34.92
511.9,,100.563,0,40.44,34.93
512.9,,100.438,0,40.44,35.35
513.9,,100.313,0,40.44,34.92
514.9,,100.125,0,40.44,34.71
515.9,,99.875,0,40.44,35.35
516.9,,99.813,0,40.44,35.14
517.9,,99.625,0,40.44,34.71
518.9,,99.500,0,40.44,34.50
519.9,,99.313,0,40.44,35.35
520.9,,99.188,0,40.50,34.93
522.2,,98.938,0,40.44,34.71
523.2,,98.875,0,40.50,35.14
524.2,,98.688,0,40.50,34.92
525.4,,98.563,0,40.56,35.14
526.4,,98.375,0,40.50,34.71
527.4,,98.250,0,40.56,34.92
528.4,,98.063,0,40.56,35.13
529.4,,98.000,0,40.63,35.14
530.4,,97.813,0,40.56,35.14
531.4,,97.750,0,40.63,35.14
532.4,,97.563,0,40.63,35.14
533.4,,97.375,0,40.63,35.35
534.4,,97.250,0,40.63,35.14
535.4,,97.188,0,40.63,34.92
536.4,,96.875,0,40.63,34.50
537.4,,96.750,0,40.63,34.92
538.4,,96.625,0,40.69,35.14
539.4,,96.500,0,40.69,34.71
540.7,,96.313,0,40.69,34.92
541.7,,96.125,0,40.63,34.71
542.7,,95.938,0,40.63,34.93
543.7,,95.875,0,40.69,34.71
544.7,,95.750,0,40.69,35.14
545.7,,95.563,0,40.69,35.35
546.7,,95.438,0,40.69,34.71
547.7,,95.250,0,40.69,34.92
548.7,,95.063,0,40.63,34.71
549.7,,95.063,0,40.69,34.28
550.7,,94.875,0,40.75,35.14
551.7,,94.688,0,40.69,35.13
552.7,,94.625,0,40.75,35.14
553.7,,94.500,0,40.75,35.14
554.7,,94.313,0,40.69,34.71
555.7,,94.250,0,40.75,35.14
556.7,,94.063,0,40.75,34.50
557.7,,93.938,0,40.75,34.49
558.7,,93.813,0,40.81,34.92
559.7,,93.563,0,40.75,35.14
560.7,,93.563,0,40.81,34.92
561.7,,93.375,0,40.81,34.71
562.9,,93.250,0,40.75,35.35
563.9,,93.000,0,40.75,35.14
564.9,,93.000,0,40.88,34.93
565.9,,92.813,0,40.81,34.71
566.9,,92.688,0,40.81,34.71
567.9,,92.563,0,40.81,35.14
568.9,,92.375,0,40.81,34.92
569.9,,92.313,0,40.88,35.35
570.9,,92.188,0,40.88,34.28
571.9,,92.063,0,40.81,35.14
572.9,,91.875,0,40.81,34.93
574.2,,91.750,0,40.88,35.14
575.2,,91.563,0,40.81,34.71
576.2,,91.438,0,40.81,34.50
577.2,,91.313,0,40.81,34.71
578.2,,91.188,0,40.81,35.35
579.2,,91.063,0,40.81,35.14
580.2,,91.000,0,40.88,35.14
581.2,,90.875,0,40.88,34.50
582.2,,90.750,0,40.88,35.14
583.2,,90.563,0,40.88,35.14
584.2,,90.438,0,40.88,34.93
585.2,,90.375,0,40.88,34.49
586.2,,90.125,0,40.81,34.92
587.4,,90.063,0,40.88,35.56
588.4,,89.938,0,40.88,34.71
589.4,,89.813,0,40.88,34.50
590.4,,89.688,0,40.94,34.28
591.4,,89.563,0,40.94,35.35
592.4,,89.438,0,40.94,35.35
593.4,,89.313,0,40.88,34.71
594.4,,89.250,0,40.94,35.14
595.4,,89.063,0,40.94,35.14
596.4,,89.000,0,40.94,34.72
597.4,,88.813,0,40.88,35.14
598.4,,88.750,0,40.94,35.14
599.7,,88.625,0,40.94,35.14
600.7,,88.438,0,40.88,34.71
601.7,,88.250,0,40.88,34.50
602.7,,88.250,0,40.94,34.50
603.7,,88.063,0,40.94,35.13
604.7,,88.000,0,40.94,34.93
605.7,,87.875,0,40.94,35.35
606.7,,87.688,0,40.88,35.14
607.9,,87.500,0,40.88,35.35
608.9,,87.438,0,40.88,35.35
609.9,,87.313,0,40.88,34.71
610.9,,87.250,0,40.94,35.14
611.9,,87.063,0,40.88,34.50
612.9,,87.000,0,40.94,35.35
613.9,,86.938,0,40.94,35.14
615.2,,86.750,0,40.94,34.92
616.2,,86.625,0,40.94,34.71
617.2,,86.500,0,40.88,35.14
618.2,,86.438,0,40.94,35.56
619.2,,86.250,0,40.88,35.14
620.2,,86.188,0,40.94,34.71
621.2,,86.000,0,40.88,34.92
622.2,,85.938,0,40.94,35.35
