# Taeron Reflow Oven run log
# firmware,v2.0-dev
# profile,Bake 125 °C
# started_at_epoch,1788973181
# started_at_local,2026-09-09 09:59:41 PDT
# entered_at_s,0.0
# wall clock of a row = started_at_epoch + elapsed_s
elapsed_s,target_c,actual_c,relay,cold_c,cpu_c
# NOTE decimated for the repository: every sample to t=400 s, then one every 4 s.
# event,0.0,run_started,profile=Bake 125 °C
140.5,65.42,66.750,0,24.56,35.56
141.5,66.03,67.125,0,24.56,35.13
142.5,66.65,67.500,0,24.50,34.71
143.5,67.27,67.938,0,24.56,35.14
144.5,67.90,68.250,0,24.56,35.14
145.5,68.54,68.688,1,24.56,34.92
146.5,69.17,68.938,0,24.56,34.71
147.8,69.95,69.375,0,24.50,34.92
148.8,70.58,69.688,0,24.56,34.71
149.8,71.22,70.063,1,24.56,34.71
151.0,72.01,70.563,1,24.63,34.92
152.0,72.68,70.875,0,24.56,34.71
153.2,73.45,71.438,1,24.63,35.35
154.2,74.09,71.813,1,24.63,34.71
155.3,74.75,72.250,1,24.63,34.71
156.6,75.59,72.938,0,24.63,35.13
157.7,76.34,73.750,1,24.63,35.35
158.7,76.99,74.313,1,24.63,34.92
159.7,77.63,74.938,1,24.63,34.49
160.8,78.28,75.750,1,24.63,35.14
162.0,79.09,77.000,1,24.69,34.92
163.2,79.88,78.063,1,24.63,35.35
164.2,80.52,79.125,0,24.69,34.28
165.3,81.17,80.375,1,24.69,34.49
166.3,81.82,81.250,1,24.75,35.14
167.5,82.61,82.375,0,24.69,34.71
168.5,83.25,83.125,0,24.69,34.49
169.5,83.90,84.000,1,24.69,35.14
170.5,84.54,84.688,0,24.69,34.92
171.5,85.17,85.375,0,24.69,34.50
172.5,85.80,86.125,0,24.75,34.92
173.5,86.43,86.750,0,24.75,35.13
174.5,87.06,87.563,0,24.81,34.92
175.5,87.69,88.000,0,24.81,35.14
176.5,88.31,88.438,0,24.81,34.07
177.5,88.94,88.875,1,24.88,34.28
178.5,89.57,89.250,1,24.88,35.14
179.5,90.18,89.625,0,24.81,34.71
180.5,90.80,90.313,0,24.88,35.14
181.7,91.56,90.813,1,24.81,34.49
182.7,92.17,91.313,1,24.88,34.92
183.7,92.79,91.813,0,24.94,34.71
184.7,93.40,92.313,0,24.88,34.92
185.7,94.03,93.000,1,24.94,34.92
186.7,94.66,93.500,1,24.94,35.56
187.7,95.29,94.000,1,24.94,35.13
188.7,95.91,94.625,0,24.94,35.13
189.7,96.54,95.563,1,24.94,34.71
190.7,97.17,96.188,1,25.00,35.14
191.7,97.80,96.875,1,25.00,34.28
192.7,98.41,97.500,0,24.94,35.35
193.8,99.05,98.250,1,25.00,34.71
195.0,99.83,99.188,1,25.00,34.71
196.2,100.56,100.188,0,25.00,34.92
197.2,101.18,100.938,0,25.06,34.71
198.2,101.79,101.750,1,25.06,34.71
199.3,102.42,102.375,1,25.13,34.28
200.3,103.02,103.125,0,25.13,35.35
201.5,103.75,103.813,0,25.13,34.49
202.5,104.35,104.375,1,25.13,34.92
203.5,104.95,105.000,1,25.13,34.50
204.5,105.55,105.625,0,25.19,35.14
205.5,106.15,106.188,0,25.19,34.49
206.5,106.75,106.625,1,25.19,34.92
207.5,107.35,107.063,1,25.19,34.92
208.5,107.95,107.625,0,25.25,34.71
209.5,108.55,108.438,0,25.25,34.29
210.5,109.15,108.875,1,25.25,34.92
211.5,109.75,109.438,1,25.31,34.49
212.5,110.35,109.938,0,25.31,34.71
213.5,110.93,110.500,0,25.31,34.92
214.5,111.50,111.063,1,25.38,34.92
215.5,112.07,111.688,1,25.38,34.28
216.5,112.64,112.188,1,25.38,34.93
217.5,113.22,112.813,0,25.38,34.28
218.8,113.96,113.563,1,25.44,34.28
220.0,114.65,114.250,1,25.44,34.92
221.0,115.22,114.813,0,25.44,34.92
222.2,115.93,115.750,0,25.44,34.50
223.2,116.50,116.313,1,25.50,34.71
224.2,117.07,116.875,1,25.50,34.93
225.2,117.64,117.438,0,25.50,34.93
226.2,118.21,118.000,0,25.50,34.71
227.2,118.77,118.500,1,25.56,34.71
228.2,119.32,119.063,1,25.63,35.14
229.2,119.88,119.688,0,25.56,34.93
230.2,120.42,120.438,0,25.63,34.92
231.2,120.97,120.813,1,25.63,34.92
232.2,121.52,121.375,1,25.69,34.93
233.2,122.07,121.875,0,25.69,34.71
234.2,122.62,122.500,0,25.69,34.71
235.3,123.17,123.000,1,25.69,34.28
236.5,123.82,123.688,1,25.75,34.71
