# Taeron Reflow Oven run log
# The oven's own run log, complete and unmodified below this line:
# every control step at about 4 Hz, fetched from the oven at
# /logs/0015-Bake-125-C.csv. Columns after the header: elapsed_s, target_c,
# actual_c, relay (0/1), cold_c (amplifier cold junction), cpu_c.
# firmware,v2.0-dev
# profile,Bake 125 °C
# started_at_epoch,1789082843
# started_at_local,2026-09-10 16:27:23 PDT
# entered_at_s,53.9
# wall clock of a row = started_at_epoch + elapsed_s
elapsed_s,target_c,actual_c,relay,cold_c,cpu_c
# event,53.9,run_started,entered_at_s=53.9 oven_c=30.3 profile=Bake 125 °C
53.5,25.00,30.313,0,28.38,35.35
# event,54.3,stage_changed,stage=hold
54.5,30.57,30.313,0,28.38,34.71
55.5,30.82,30.313,0,28.38,34.50
56.5,31.07,30.313,0,28.38,35.14
57.5,31.32,30.313,1,28.38,35.14
58.5,31.57,30.313,1,28.38,34.71
59.8,31.87,30.313,1,28.38,35.35
60.8,32.12,30.250,0,28.31,34.71
62.0,32.43,30.188,1,28.38,34.93
63.3,32.74,30.250,1,28.31,34.93
64.3,32.99,30.313,1,28.31,34.71
65.5,33.36,30.375,1,28.31,35.78
66.5,33.78,30.438,1,28.31,34.93
67.8,34.32,30.688,1,28.38,35.35
68.8,34.75,30.813,1,28.31,34.92
70.0,35.24,31.000,1,28.31,34.93
71.3,35.75,31.438,1,28.31,34.71
72.3,36.17,31.750,1,28.31,34.29
73.3,36.58,32.125,1,28.31,35.35
74.3,37.00,32.500,1,28.31,34.28
75.5,37.52,33.313,1,28.31,34.50
76.8,38.04,34.125,1,28.31,34.50
78.0,38.56,35.063,1,28.31,34.92
79.1,39.06,35.813,1,28.31,35.14
80.3,39.70,36.813,1,28.25,34.93
81.3,40.24,38.000,1,28.31,34.71
82.5,40.92,39.250,1,28.31,34.93
83.8,41.60,40.813,1,28.25,35.14
85.0,42.28,42.000,0,28.38,35.14
86.3,42.96,43.375,0,28.31,34.93
87.3,43.50,44.563,0,28.31,35.14
88.3,44.05,45.500,0,28.31,35.35
89.5,44.73,46.250,0,28.31,34.50
90.5,45.28,47.000,0,28.31,34.29
91.8,45.97,47.813,0,28.25,34.71
92.8,46.52,48.563,0,28.25,34.71
94.0,47.18,49.313,0,28.25,34.93
95.0,47.76,49.875,0,28.25,35.14
96.3,48.58,50.625,0,28.25,34.93
97.3,49.24,51.125,0,28.25,34.92
98.5,50.04,51.875,0,28.25,34.71
99.5,50.70,52.313,0,28.25,34.92
100.8,51.51,53.000,0,28.25,34.93
101.8,52.16,53.438,0,28.25,34.93
103.0,52.97,54.000,0,28.25,34.49
104.0,53.63,54.375,0,28.25,34.92
105.0,54.29,54.813,0,28.25,34.28
106.0,54.94,55.188,0,28.25,34.28
107.0,55.60,55.438,0,28.25,34.93
108.3,56.39,55.875,1,28.25,34.93
109.5,57.20,56.375,0,28.25,34.50
110.5,57.86,56.750,0,28.25,35.14
111.8,58.67,57.250,1,28.25,34.93
113.0,59.48,57.750,1,28.31,34.71
114.0,60.13,58.125,1,28.25,34.93
115.0,60.80,58.625,0,28.25,34.08
116.3,61.59,59.375,1,28.25,34.50
117.3,62.27,59.938,1,28.25,34.28
118.5,63.09,60.813,1,28.25,34.93
119.5,63.80,61.625,1,28.25,34.07
120.5,64.52,62.375,1,28.25,34.93
121.5,65.24,63.313,1,28.25,34.71
122.8,66.14,64.750,1,28.25,35.14
124.0,67.02,66.000,1,28.25,34.50
125.0,67.74,67.250,1,28.31,34.49
126.0,68.46,68.313,0,28.25,35.35
127.0,69.18,69.688,0,28.25,34.28
128.0,69.91,70.688,0,28.31,34.50
129.3,70.79,71.625,0,28.25,35.14
130.3,71.50,72.375,0,28.25,34.29
131.3,72.22,73.188,0,28.25,34.50
132.3,72.94,73.750,1,28.25,34.93
133.3,73.66,74.375,0,28.25,34.50
134.3,74.38,75.063,0,28.25,34.71
135.3,75.09,75.625,0,28.25,34.49
136.3,75.81,76.313,1,28.25,35.14
137.6,76.74,77.000,0,28.25,34.49
138.8,77.60,77.813,0,28.31,34.50
139.8,78.33,78.375,1,28.25,34.93
