# from run-0016-console.txt; duty is the COMMANDED duty, which the run log does not carry
elapsed_s,state,temp_c,target_c,duty,relay,cold_c,cpu_c
105.56,running,156.1875,156.96,0.945,1,32.44,34.29
106.56,running,156.4375,157.35,0.956,1,32.44,33.65
107.55,running,156.6875,157.75,0.964,1,32.44,34.08
108.55,running,157.1250,158.15,0.919,1,32.44,33.86
109.56,running,157.6250,158.56,0.846,1,32.50,33.65
110.56,running,158.3750,158.96,0.727,1,32.50,34.50
111.60,running,159.0000,159.37,0.644,1,32.50,34.71
112.58,running,159.6875,159.76,0.567,1,32.50,34.51
113.61,running,160.3750,160.18,0.490,1,32.50,34.08
114.55,running,161.1250,160.55,0.381,0,32.50,34.08
115.56,running,161.8750,160.96,0.296,0,32.56,33.87
116.55,running,162.3750,161.35,0.297,1,32.63,33.44
117.58,running,163.0625,161.76,0.291,0,32.63,33.65
118.55,running,163.5000,162.15,0.288,0,32.63,34.08
119.56,running,163.6875,162.56,0.409,0,32.63,33.65
120.60,running,164.0000,162.97,0.455,1,32.69,33.87
121.56,running,164.2500,163.36,0.515,1,32.69,33.86
122.56,running,164.5000,163.76,0.546,0,32.75,34.29
123.56,running,164.8125,164.16,0.562,0,32.75,34.08
124.58,running,165.0625,164.56,0.610,1,32.81,33.65
125.56,running,165.1875,164.96,0.690,1,32.81,33.44
126.55,running,165.3750,165.35,0.746,1,32.81,34.08
127.56,running,165.7500,165.76,0.733,0,32.81,34.08
128.55,running,166.0625,166.15,0.723,1,32.88,34.08
129.55,running,166.2500,166.55,0.792,1,32.88,34.07
130.55,running,166.6250,166.95,0.781,1,32.94,33.87
131.56,running,167.0000,167.36,0.779,0,32.88,33.86
132.56,running,167.5625,167.75,0.689,1,32.94,34.29
133.56,running,167.9375,168.16,0.687,1,33.00,33.86
134.55,running,168.3125,168.55,0.703,1,33.00,34.29
135.55,running,168.8125,168.95,0.695,0,33.00,33.86
136.57,running,169.3125,169.36,0.636,1,33.00,34.29
137.59,running,169.6875,169.77,0.647,1,33.00,33.65
138.59,running,170.3125,170.17,0.611,1,33.06,33.66
139.60,running,170.8750,170.57,0.544,0,33.13,33.87
140.57,running,171.3125,170.96,0.532,1,33.06,34.08
141.59,running,171.6875,171.37,0.582,1,33.06,34.29
142.56,running,172.1875,171.76,0.566,1,33.13,33.44
143.56,running,172.6875,172.16,0.534,0,33.19,34.50
144.56,running,173.1250,172.56,0.513,0,33.19,33.86
145.56,running,173.4375,172.96,0.604,1,33.25,34.29
146.56,running,173.8750,173.36,0.597,1,33.25,34.29
147.56,running,174.2500,173.76,0.591,0,33.25,33.87
148.55,running,174.6250,174.15,0.579,0,33.31,33.65
149.58,running,174.8750,174.57,0.633,1,33.31,33.86
150.56,running,175.2500,174.96,0.635,1,33.38,33.87
151.56,running,175.6250,175.36,0.643,0,33.38,33.44
152.56,running,176.0000,175.76,0.641,0,33.44,33.65
153.56,running,176.1875,176.16,0.722,1,33.44,33.44
154.55,running,176.5000,176.55,0.752,1,33.50,34.08
155.56,running,176.8750,176.96,0.782,1,33.50,33.86
156.55,running,177.3750,177.35,0.688,0,33.50,34.08
157.56,running,177.6250,177.76,0.751,1,33.50,34.08
158.55,running,177.8750,178.15,0.789,1,33.56,34.08
159.57,running,178.3125,178.56,0.804,1,33.63,34.07
160.57,running,179.0000,178.96,0.732,0,33.69,34.50
161.56,running,179.3750,179.36,0.647,1,33.69,34.08
162.62,running,179.6875,179.78,0.713,1,33.75,34.08
163.58,running,180.0625,180.31,1.000,1,33.75,34.08
164.62,running,180.5000,181.09,1.000,0,33.75,33.23
165.57,running,180.9375,181.81,1.000,1,33.81,34.07
166.56,running,181.3750,182.56,1.000,1,33.81,34.09
167.57,running,181.7500,183.32,1.000,1,33.81,34.08
168.56,running,182.1875,184.07,1.000,1,33.81,33.43
169.56,running,182.8125,184.82,1.000,1,33.88,33.65
170.56,running,183.3750,185.57,1.000,1,33.88,33.65
171.56,running,184.3125,186.33,1.000,1,33.94,34.08
172.55,running,185.0625,187.08,1.000,1,34.00,33.66
173.56,running,185.8125,187.84,1.000,1,34.06,34.08
174.56,running,186.6250,188.59,1.000,1,34.06,34.29
175.56,running,187.8750,189.34,1.000,1,34.13,34.29
176.56,running,188.6875,190.10,1.000,1,34.13,33.87
177.56,running,189.6250,190.85,1.000,1,34.19,34.29
178.56,running,190.4375,191.61,1.000,1,34.19,34.71
179.55,running,191.3125,192.35,1.000,1,34.25,34.08
180.57,running,192.2500,193.12,1.000,1,34.25,33.66
181.55,running,193.1250,193.86,1.000,1,34.31,33.86
182.56,running,194.1875,194.62,0.918,1,34.31,34.29
183.57,running,195.2500,195.38,0.832,1,34.44,33.87
184.55,running,196.0625,196.12,0.833,1,34.38,34.71
185.56,running,196.9375,196.88,0.861,1,34.44,33.87
186.56,running,197.8750,197.64,0.830,1,34.44,33.65
187.57,running,198.8750,198.40,0.753,1,34.56,33.87
188.60,running,200.2500,199.18,0.550,1,34.63,34.08
