# from run-0019-console.txt; duty is the COMMANDED duty, which the run log does not carry
elapsed_s,state,temp_c,target_c,duty,relay,cold_c,cpu_c
0.00,precharge,58.3750,25.00,0.000,0,30.50,34.50
0.90,precharge,58.4375,25.00,1.000,1,30.56,34.93
1.90,precharge,58.4375,25.00,1.000,1,30.56,34.93
2.91,precharge,58.2500,25.00,1.000,1,30.50,34.71
3.92,precharge,58.3125,25.00,1.000,1,30.56,34.08
4.89,precharge,58.1875,25.00,1.000,1,30.50,35.14
5.95,precharge,58.3125,25.00,1.000,1,30.56,34.93
6.89,precharge,58.3125,25.00,1.000,1,30.50,34.71
7.91,precharge,58.3750,25.00,1.000,1,30.50,35.14
8.89,precharge,58.5000,25.00,1.000,1,30.50,34.29
9.89,precharge,58.6875,25.00,1.000,1,30.50,35.14
10.90,precharge,58.8125,25.00,1.000,1,30.44,34.29
11.92,precharge,59.1875,25.00,1.000,1,30.50,34.71
12.90,precharge,59.4375,25.00,1.000,1,30.44,34.93
13.90,precharge,59.8125,25.00,1.000,1,30.44,35.14
14.89,precharge,60.3750,25.00,1.000,1,30.44,34.50
15.90,precharge,60.8750,25.00,1.000,1,30.44,34.50
16.90,precharge,61.4375,25.00,1.000,1,30.44,34.93
17.89,precharge,62.1875,25.00,1.000,1,30.44,34.93
18.90,precharge,63.0000,25.00,1.000,1,30.44,34.50
19.90,precharge,63.6875,25.00,1.000,1,30.38,34.71
20.92,precharge,64.5000,25.00,1.000,1,30.38,34.93
21.90,precharge,65.1875,25.00,1.000,1,30.31,34.50
22.90,precharge,66.1875,25.00,1.000,1,30.38,34.29
23.90,precharge,67.0625,25.00,1.000,1,30.38,34.93
24.91,precharge,68.0000,25.00,1.000,1,30.31,34.92
25.90,precharge,69.1250,25.00,1.000,1,30.38,34.50
26.90,precharge,70.4375,25.00,1.000,1,30.38,34.71
27.90,precharge,71.5625,25.00,1.000,1,30.31,34.71
28.91,precharge,72.6875,25.00,1.000,1,30.31,34.93
30.62,running,75.0625,75.33,1.000,0,30.31,34.93
31.62,running,76.3125,76.77,1.000,0,30.31,34.50
32.62,running,77.1250,78.20,1.000,0,30.31,34.29
33.62,running,77.8125,79.62,1.000,0,30.25,34.93
34.62,running,78.5625,81.04,1.000,1,30.31,34.29
35.62,running,79.3125,82.46,1.000,1,30.31,34.71
