# from run-0021-console.txt; duty is the COMMANDED duty, which the run log does not carry
elapsed_s,state,temp_c,target_c,duty,relay,cold_c,cpu_c
107.91,running,126.5000,127.20,0.695,0,25.69,32.79
108.91,running,127.7500,128.36,0.726,1,25.69,32.80
109.91,running,129.0625,129.52,0.850,1,25.69,32.58
110.91,running,130.1250,130.68,0.906,1,25.75,32.15
111.90,running,131.2500,131.83,0.996,0,25.75,32.15
112.91,running,132.6875,133.00,0.960,1,25.81,32.37
113.90,running,133.5625,134.15,1.000,1,25.81,32.58
114.91,running,134.9375,135.33,0.938,1,25.94,32.79
115.91,running,135.9375,136.48,1.000,1,25.94,32.15
116.90,running,137.0000,137.63,0.968,1,25.94,32.80
117.91,running,138.1250,138.81,0.991,1,25.94,32.80
118.93,running,139.2500,139.99,0.838,1,26.00,32.58
119.91,running,140.4375,141.12,0.749,1,26.06,32.58
120.91,running,141.6250,142.21,0.836,1,26.06,32.16
121.92,running,142.8125,143.27,0.952,1,26.13,32.37
122.91,running,144.3750,144.31,0.455,1,26.13,32.58
123.91,running,145.7500,145.35,0.231,0,26.13,33.01
124.91,running,146.7500,146.41,0.258,0,26.19,32.37
125.91,running,147.5625,147.46,0.261,1,26.25,32.37
126.91,running,148.5000,148.50,0.272,0,26.25,32.79
127.92,running,149.1250,149.57,0.388,0,26.25,32.15
128.94,running,149.6250,150.24,0.544,0,26.31,32.58
129.96,running,150.0625,150.65,0.623,1,26.44,32.80
130.91,running,150.5000,151.03,0.658,1,26.44,32.80
131.91,running,150.9375,151.43,0.712,0,26.38,32.79
132.91,running,151.6250,151.83,0.745,0,26.50,33.44
133.91,running,152.0625,152.23,0.572,1,26.50,33.01
134.90,running,152.5000,152.63,0.575,1,26.56,32.58
135.91,running,153.1875,153.03,0.504,0,26.63,32.37
136.91,running,153.6875,153.43,0.583,0,26.63,32.58
137.91,running,154.1875,153.83,0.456,1,26.69,32.16
138.91,running,154.5000,154.23,0.522,1,26.69,32.37
139.90,running,155.1875,154.63,0.458,0,26.75,32.79
140.92,running,155.4375,155.03,0.602,0,26.75,32.15
141.91,running,155.8750,155.43,0.707,1,26.88,32.58
142.91,running,156.0625,155.83,0.690,1,26.88,32.37
143.91,running,156.5000,156.23,0.624,1,26.88,32.37
144.92,running,157.1875,156.63,0.569,0,27.00,32.16
145.91,running,157.5000,157.03,0.511,1,27.00,32.80
146.91,running,157.8750,157.43,0.541,1,27.06,32.79
147.90,running,158.4375,157.83,0.572,0,27.13,32.80
148.91,running,158.9375,158.23,0.546,0,27.19,32.58
149.91,running,159.1250,158.63,0.641,1,27.19,33.01
150.91,running,159.6250,159.03,0.511,1,27.25,33.01
151.91,running,159.9375,159.43,0.497,1,27.25,32.58
152.91,running,160.5000,159.83,0.639,0,27.25,32.58
153.91,running,160.8750,160.23,0.598,1,27.31,32.58
154.91,running,161.3750,160.63,0.507,1,27.38,32.15
155.92,running,161.8750,161.03,0.515,0,27.44,32.58
156.90,running,162.3750,161.43,0.437,0,27.50,33.00
157.92,running,162.6875,161.83,0.451,1,27.50,33.22
158.93,running,163.0625,162.24,0.481,1,27.56,32.15
159.92,running,163.5000,162.64,0.445,0,27.63,31.72
160.90,running,163.8750,163.03,0.645,0,27.63,32.58
161.90,running,164.0000,163.43,0.746,1,27.63,32.15
162.91,running,164.3125,163.83,0.681,1,27.69,32.37
163.90,running,164.6250,164.23,0.663,1,27.75,32.58
164.93,running,165.0000,164.64,0.789,0,27.75,33.01
165.91,running,165.3125,165.03,0.821,1,27.88,32.58
166.90,running,165.5625,165.43,0.763,1,27.88,32.37
167.90,running,166.0000,165.83,0.674,1,27.94,31.94
168.91,running,166.5000,166.23,0.494,0,28.00,32.37
169.92,running,166.8125,166.64,0.601,1,28.00,32.15
170.91,running,167.2500,167.03,0.554,1,28.13,32.58
171.91,running,167.6250,167.43,0.646,1,28.19,33.01
172.91,running,168.0625,167.83,0.490,1,28.13,32.58
173.90,running,168.6250,168.23,0.463,1,28.19,32.58
174.91,running,169.3125,168.63,0.396,1,28.31,32.37
175.91,running,170.1250,169.03,0.336,0,28.31,32.15
176.91,running,170.8125,169.43,0.316,0,28.38,33.22
177.91,running,171.2500,169.83,0.276,1,28.50,32.79
178.92,running,171.7500,170.23,0.249,1,28.56,32.58
179.91,running,172.0625,170.63,0.315,0,28.56,31.93
180.91,running,172.3125,171.03,0.490,0,28.63,32.37
181.91,running,172.4375,171.43,0.701,1,28.69,32.80
182.91,running,172.5000,171.83,0.848,1,28.75,32.37
183.92,running,172.7500,172.23,0.745,1,28.81,32.15
184.93,running,173.0625,172.64,0.706,0,28.88,32.37
185.95,running,173.3125,173.04,0.811,1,28.88,33.01
186.91,running,173.5625,173.43,0.730,1,28.88,32.58
187.91,running,173.9375,173.83,0.749,1,28.94,32.37
188.91,running,174.3750,174.23,0.698,1,29.00,32.37
189.93,running,175.0000,174.64,0.507,1,29.06,33.23
190.91,running,175.5625,175.03,0.348,1,29.06,33.01
191.90,running,176.3750,175.43,0.151,1,29.19,32.79
192.91,running,177.0625,175.83,0.159,0,29.19,31.94
193.90,running,177.5000,176.23,0.299,0,29.19,32.79
194.91,running,177.8750,176.63,0.341,1,29.31,32.15
195.91,running,178.1250,177.03,0.485,1,29.38,33.01
196.91,running,178.5000,177.43,0.569,0,29.44,32.37
197.91,running,178.7500,177.83,0.851,0,29.44,32.15
198.91,running,178.8750,178.23,1.000,1,29.50,32.36
199.91,running,179.1250,178.63,1.000,1,29.50,32.80
200.91,running,179.5000,179.03,1.000,1,29.56,32.16
201.91,running,179.8750,179.43,1.000,1,29.63,32.58
202.90,running,180.3750,179.83,1.000,1,29.69,32.15
203.93,running,181.1250,180.45,0.904,1,29.75,32.37
204.91,running,181.8125,181.19,0.778,1,29.81,32.16
205.91,running,182.4375,181.95,0.704,1,29.88,32.80
206.91,running,183.1250,182.70,0.687,1,29.88,32.80
207.91,running,183.8750,183.45,0.678,1,29.94,33.01
208.91,running,184.6250,184.21,0.682,1,30.00,33.44
209.90,running,185.3750,184.95,0.749,1,30.00,32.80
210.92,running,186.4375,185.72,0.762,1,30.06,32.37
211.93,running,187.5625,186.48,0.512,1,30.19,32.37
212.91,running,188.3125,187.22,0.548,1,30.19,32.58
213.94,running,189.2500,188.00,0.557,1,30.25,32.15
214.99,running,190.2500,188.79,0.437,1,30.31,32.58
215.91,running,190.8750,189.48,0.483,1,30.38,32.58
216.90,running,191.5000,190.23,0.550,0,30.44,32.58
217.91,running,192.1250,190.99,0.769,0,30.50,32.58
218.91,running,192.5000,191.74,0.915,0,30.50,32.79
219.91,running,192.6875,192.50,1.000,1,30.56,33.01
220.91,running,192.9375,193.25,1.000,1,30.63,32.36
221.91,running,193.5000,194.01,1.000,1,30.69,32.58
222.91,running,194.0000,194.76,1.000,1,30.75,32.79
223.91,running,194.5625,195.52,1.000,1,30.81,32.80
224.91,running,195.2500,196.27,1.000,1,30.81,32.58
225.91,running,196.1250,197.03,0.983,1,30.88,32.37
