import gc; gc.collect()
>>> import heat_step_test as hst
>>> hst.main(hst.IDENTIFY_60_TO_240, confirm=hst.CONFIRM)
# heat step test, 41 steps, 7500 s planned
# t,state,temp_c,target_c,duty,relay,cold_c,cpu_c
# step climb to 60C: duty 1.000, ceiling 36 C, 600 s
828.23,steptest,39.6250,,0.043,0,27.75,33.43
828.48,steptest,39.6250,,0.043,0,27.75,33.22
828.73,steptest,39.8125,,0.043,0,27.75,32.80
828.98,steptest,39.8750,,0.043,0,27.75,33.01
829.23,steptest,39.9375,,0.043,0,27.75,34.29
829.48,steptest,40.0625,,0.043,0,27.75,33.44
829.73,steptest,40.0625,,0.043,0,27.75,33.43
829.98,steptest,40.1250,,0.043,0,27.69,32.79
830.23,steptest,40.2500,,0.043,0,27.75,33.86
830.48,steptest,40.5000,,0.043,0,27.75,33.22
830.73,steptest,40.5000,,0.043,0,27.75,33.64
830.98,steptest,40.4375,,0.043,0,27.69,33.43
831.23,steptest,40.6875,,0.043,0,27.75,33.22
831.48,steptest,40.8125,,0.043,0,27.75,33.64
831.73,steptest,40.8125,,0.043,0,27.75,32.58
831.98,steptest,40.8750,,0.043,0,27.75,33.00
832.23,steptest,41.0000,,0.043,0,27.69,33.64
832.48,steptest,41.0625,,0.043,0,27.69,33.65
832.73,steptest,41.2500,,0.043,0,27.69,33.22
832.98,steptest,41.2500,,0.043,0,27.69,33.43
833.23,steptest,41.3125,,0.043,0,27.69,33.22
833.48,steptest,41.4375,,0.043,0,27.69,33.44
833.73,steptest,41.5625,,0.043,0,27.69,33.64
833.98,steptest,41.5625,,0.043,0,27.69,33.00
834.23,steptest,41.6250,,0.043,0,27.69,32.58
834.48,steptest,41.7500,,0.043,0,27.69,33.65
834.73,steptest,41.9375,,0.043,0,27.75,33.86
834.98,steptest,41.9375,,0.043,0,27.75,33.22
835.23,steptest,42.0000,,0.043,0,27.75,33.00
835.48,steptest,42.1875,,0.043,0,27.75,33.43
835.73,steptest,42.2500,,0.043,0,27.75,33.22
835.98,steptest,42.2500,,0.043,0,27.69,33.22
836.23,steptest,42.2500,,0.043,0,27.69,32.79
836.48,steptest,42.4375,,0.043,0,27.69,33.43
836.73,steptest,42.5625,,0.043,0,27.75,33.43
836.98,steptest,42.6250,,0.043,0,27.69,33.00
837.23,steptest,42.6250,,0.043,0,27.69,33.01
837.48,steptest,42.6875,,0.043,0,27.69,32.79
837.73,steptest,42.8125,,0.043,0,27.75,33.01
837.98,steptest,42.9375,,0.043,0,27.75,32.79
838.23,steptest,42.9375,,0.043,0,27.69,33.01
838.48,steptest,43.0000,,0.043,0,27.69,33.00
838.73,steptest,43.0625,,0.043,0,27.69,33.01
838.98,steptest,43.2500,,0.043,0,27.69,32.57
839.23,steptest,43.2500,,0.043,0,27.69,33.22
839.48,steptest,43.2500,,0.043,0,27.69,34.07
839.73,steptest,43.4375,,0.043,0,27.69,33.64
839.98,steptest,43.4375,,0.043,0,27.69,33.01
840.23,steptest,43.5625,,0.043,0,27.69,33.01
840.48,steptest,43.5625,,0.043,0,27.69,33.86
840.73,steptest,43.5625,,0.043,0,27.63,33.00
840.98,steptest,43.7500,,0.043,0,27.69,33.00
841.23,steptest,43.8750,,0.043,0,27.69,33.44
