# duty is the COMMANDED duty, which the run log does not carry;
# it is the input signal the plant identification needs.
elapsed_s,state,temp_c,target_c,duty,relay,cold_c,cpu_c
107.50,running,108.0625,108.57,0.415,1,31.75,34.92
108.49,running,109.0000,109.01,0.258,1,31.81,35.35
109.50,running,109.8750,109.45,0.148,0,31.75,34.71
110.50,running,111.1250,109.90,0.000,0,31.75,34.71
111.49,running,111.8125,110.34,0.000,0,31.75,34.71
112.49,running,112.3125,110.79,0.000,0,31.75,35.56
113.49,running,112.8125,111.23,0.047,0,31.81,34.92
114.50,running,113.3125,111.68,0.041,0,31.81,34.71
115.49,running,113.5625,112.12,0.141,0,31.75,34.07
116.49,running,113.8750,112.56,0.197,0,31.81,34.93
117.50,running,114.1875,113.01,0.254,0,31.81,34.50
118.49,running,114.3750,113.45,0.318,0,31.81,34.71
119.50,running,114.5625,113.90,0.395,0,31.81,35.13
120.50,running,114.7500,114.35,0.462,1,31.81,34.92
121.50,running,115.0625,114.79,0.467,0,31.88,35.56
122.50,running,115.3125,115.24,0.509,0,31.75,35.14
123.50,running,115.5625,115.68,0.545,0,31.81,34.50
124.50,running,115.5000,116.12,0.722,1,31.88,34.92
125.50,running,116.1250,116.57,0.623,1,31.88,34.71
126.49,running,116.4375,117.01,0.644,0,31.81,35.14
127.50,running,116.8125,117.46,0.572,0,31.88,35.14
128.49,running,117.1250,117.90,0.676,1,31.88,35.14
129.49,running,117.3750,118.34,0.735,1,31.88,34.71
130.50,running,117.8125,118.79,0.731,1,31.94,34.92
131.51,running,118.3125,119.24,0.689,0,31.88,34.92
132.54,running,118.9375,119.70,0.625,1,31.88,35.35
133.50,running,119.3750,120.12,0.635,1,31.88,34.28
134.49,running,119.9375,120.56,0.567,0,31.88,35.14
135.50,running,120.5625,121.01,0.529,0,31.94,35.35
136.51,running,121.0625,121.46,0.524,1,31.94,34.92
137.50,running,121.7500,121.90,0.458,1,31.94,34.71
138.49,running,122.3750,122.34,0.401,0,32.00,35.14
139.49,running,122.8125,122.79,0.414,0,31.94,35.35
140.50,running,123.3125,123.23,0.437,1,32.00,35.35
141.50,running,123.6875,123.68,0.476,1,32.00,35.14
142.50,running,124.3125,124.12,0.404,0,32.00,34.28
143.49,running,124.8750,124.56,0.389,0,32.06,34.92
144.50,running,125.2500,125.01,0.429,1,32.06,35.78
145.51,running,125.6875,125.46,0.430,1,32.06,34.92
146.51,running,126.1875,125.91,0.426,0,32.13,34.93
147.51,running,126.5625,126.35,0.444,0,32.13,34.92
148.51,running,127.0625,126.79,0.434,1,32.13,34.92
149.49,running,127.3750,127.23,0.489,1,32.13,35.35
150.50,running,127.8750,127.68,0.459,0,32.13,35.35
151.50,running,128.2500,128.12,0.494,0,32.13,34.49
152.50,running,128.7500,128.57,0.444,0,32.19,34.71
153.50,running,129.0000,129.01,0.538,1,32.13,35.14
154.50,running,129.3750,129.46,0.539,1,32.13,34.92
155.49,running,129.7500,129.90,0.592,0,32.13,35.13
156.50,running,130.1875,130.21,0.412,0,32.19,34.71
157.50,running,130.5000,130.47,0.430,1,32.19,34.71
158.51,running,130.8750,130.74,0.425,1,32.19,34.92
159.55,running,131.3125,131.02,0.393,0,32.25,34.50
160.50,running,131.6875,131.27,0.334,0,32.25,34.92
161.50,running,132.0000,131.54,0.334,1,32.31,35.14
162.49,running,132.1875,131.81,0.388,0,32.25,34.49
163.50,running,132.5000,132.07,0.380,0,32.25,35.56
164.50,running,132.9375,132.34,0.331,0,32.31,35.13
165.49,running,133.2500,132.61,0.316,1,32.38,34.92
166.49,running,133.4375,132.87,0.334,1,32.38,35.14
167.50,running,133.6875,133.14,0.369,0,32.38,35.35
168.50,running,133.9375,133.41,0.370,0,32.38,35.14
169.50,running,134.1250,133.67,0.409,1,32.38,35.14
170.50,running,134.4375,133.94,0.388,1,32.44,34.50
171.50,running,134.6250,134.21,0.416,0,32.44,35.56
172.50,running,134.8750,134.47,0.395,0,32.44,35.35
173.50,running,135.0625,134.74,0.433,1,32.44,34.71
174.50,running,135.2500,135.01,0.450,1,32.44,34.71
175.49,running,135.6250,135.27,0.404,0,32.50,34.93
176.49,running,135.8750,135.54,0.396,0,32.56,34.50
177.50,running,136.1875,135.81,0.397,1,32.56,35.35
178.49,running,136.3750,136.07,0.413,1,32.50,34.93
179.53,running,136.6250,136.35,0.432,0,32.56,34.92
180.53,running,137.0000,136.62,0.374,0,32.63,35.35
181.49,running,137.2500,136.87,0.362,0,32.63,34.93
182.49,running,137.4375,137.14,0.401,1,32.63,34.71
183.50,running,137.6875,137.41,0.427,0,32.69,34.92
184.50,running,137.9375,137.67,0.422,0,32.69,35.14
185.49,running,138.1875,137.94,0.424,0,32.69,35.14
186.50,running,138.4375,138.70,0.929,1,32.75,34.50
187.50,running,138.6875,139.60,1.000,1,32.75,34.71
188.50,running,138.9375,140.50,1.000,1,32.75,34.92
189.49,running,139.3750,141.39,1.000,0,32.75,34.71
190.49,running,139.5625,142.29,1.000,1,32.81,35.14
191.49,running,140.4375,143.19,1.000,1,32.81,34.93
192.50,running,140.9375,144.10,1.000,1,32.81,35.35
193.49,running,141.5625,144.99,1.000,1,32.88,34.71
194.49,running,142.1875,145.89,1.000,1,32.81,34.93
195.50,running,142.9375,146.80,1.000,1,32.88,34.50
196.50,running,144.0000,147.70,1.000,1,32.94,35.35
197.50,running,144.9375,148.60,1.000,1,33.00,35.35
198.50,running,145.6875,149.50,1.000,1,32.94,34.71
199.50,running,146.7500,150.40,1.000,1,33.06,34.92
200.50,running,147.6250,151.30,1.000,1,33.06,34.71
201.50,running,148.5625,152.20,1.000,1,33.06,35.14
202.51,running,149.8125,153.11,1.000,1,33.06,34.71
203.50,running,150.8750,154.00,1.000,1,33.06,35.14
204.50,running,151.9375,154.90,1.000,1,33.13,35.35
205.51,running,153.2500,155.81,1.000,1,33.13,34.93
206.53,running,154.6250,156.72,1.000,1,33.13,35.56
207.50,running,155.6875,157.60,1.000,1,33.19,35.35
208.53,running,156.8750,158.53,1.000,1,33.25,34.50
209.56,running,158.0000,159.45,1.000,1,33.25,35.14
210.50,running,159.1250,160.30,1.000,1,33.25,35.35
211.49,running,160.2500,161.19,1.000,1,33.31,34.49
212.50,running,161.6875,162.10,0.846,1,33.31,35.14
213.50,running,162.8125,163.00,0.000,1,33.31,34.93
214.50,running,164.0000,163.90,0.000,1,33.38,34.49
215.50,running,165.1875,164.80,0.000,0,33.38,34.50
216.50,running,166.0625,164.30,0.000,0,33.38,35.35
217.49,running,166.7500,163.41,0.000,0,33.44,35.14
218.49,running,167.3125,162.51,0.000,0,33.44,34.92
219.50,running,167.7500,161.60,0.000,0,33.50,34.92
220.49,running,168.0625,160.71,0.000,0,33.50,35.35
221.49,running,168.1875,159.81,0.000,0,33.56,34.71
222.50,running,168.3125,158.90,0.000,0,33.56,34.93
223.49,running,168.3750,158.01,0.000,0,33.63,34.93
224.52,running,168.3750,157.08,0.000,0,33.69,34.50
225.50,running,168.2500,156.20,0.000,0,33.63,34.71
226.52,running,168.2500,155.28,0.000,0,33.69,34.92
227.50,running,168.1250,154.40,0.000,0,33.75,34.71
228.49,running,167.9375,153.51,0.000,0,33.81,35.35
229.49,running,167.7500,152.61,0.000,0,33.81,34.49
230.49,running,167.5000,151.71,0.000,0,33.81,34.92
231.50,running,167.2500,150.80,0.000,0,33.81,35.35
232.50,running,167.1250,149.90,0.000,0,33.94,34.28
233.50,running,166.8125,149.00,0.000,0,33.94,35.14
234.62,running,166.3125,147.99,0.000,0,33.94,35.14
235.51,running,166.0625,147.20,0.000,0,34.00,35.56
236.49,running,165.6875,146.31,0.000,0,34.00,35.14
237.53,running,165.4375,145.37,0.000,0,34.06,34.92
238.51,running,165.0000,144.49,0.000,0,34.13,35.35
239.52,running,164.6250,143.59,0.000,0,34.13,34.93
240.52,running,164.1875,142.68,0.000,0,34.13,35.14
241.52,running,163.8750,141.78,0.000,0,34.19,34.50
242.54,running,163.5625,140.87,0.000,0,34.25,35.14
243.49,running,163.1250,140.01,0.000,0,34.25,34.92
244.50,running,162.6875,139.10,0.000,0,34.31,34.49
245.49,running,162.2500,138.21,0.000,0,34.31,34.92
246.49,running,161.8125,136.90,0.000,0,34.31,34.71
247.50,running,161.4375,135.46,0.000,0,34.31,34.71
248.51,running,160.8750,134.01,0.000,0,34.44,35.14
249.50,running,160.4375,132.59,0.000,0,34.44,34.92
250.52,running,160.0625,131.13,0.000,0,34.50,34.93
251.50,running,159.6250,129.72,0.000,0,34.50,35.56
252.49,running,159.2500,128.29,0.000,0,34.56,34.92
253.49,running,158.8750,126.86,0.000,0,34.63,35.14
254.49,running,158.3125,125.43,0.000,0,34.63,35.35
255.49,running,157.8750,123.99,0.000,0,34.63,34.50
256.49,running,157.5000,122.57,0.000,0,34.69,35.35
257.49,running,157.1250,121.13,0.000,0,34.75,34.71
258.49,running,156.6875,119.70,0.000,0,34.75,34.71
259.49,running,156.3125,118.27,0.000,0,34.81,34.29
260.49,running,155.8125,116.83,0.000,0,34.81,34.71
261.49,running,155.4375,115.40,0.000,0,34.88,34.71
262.49,running,155.0000,113.97,0.000,0,34.88,34.50
263.49,running,154.6250,112.53,0.000,0,35.00,35.14
264.50,running,154.0625,111.08,0.000,0,35.00,35.56
265.49,running,153.6875,109.66,0.000,0,35.06,35.13
266.50,running,153.2500,108.22,0.000,0,35.06,34.92
267.51,running,152.9375,106.77,0.000,0,35.13,35.56
268.49,running,152.5625,105.37,0.000,0,35.13,35.14
269.49,running,152.1875,103.93,0.000,0,35.19,34.71
270.51,running,151.6875,102.47,0.000,0,35.19,34.93
271.49,running,151.3125,101.06,0.000,0,35.25,34.71
272.49,running,150.9375,99.63,0.000,0,35.25,35.14
273.49,running,150.5625,98.20,0.000,0,35.25,35.14
274.49,running,150.1875,96.76,0.000,0,35.31,34.92
275.49,running,149.7500,95.33,0.000,0,35.38,34.93
